"Representative","State","Amount"
"Cramer Bud (D-AL)","Alabama","$71900"
"Mrvan Frank Jr (D-IN)","Indiana","$71339"
"Wynn Albert R (D-MD)","Maryland","$71250"
"Loebsack David (D-IA)","Iowa","$71020"
"Fingerhut Eric D (D-OH)","Ohio","$70890"
"Hoyle Val (D-OR)","Oregon","$70551"
"Gonzalez Anthony (R-OH)","Ohio","$70493"
"Buck Ken (R-CO)","Colorado","$70025"
"Barber Ron (D-AZ)","Arizona","$69889"
"Meadows Mark (R-NC)","North Carolina","$69570"
"Bonamici Suzanne (D-OR)","Oregon","$69534"
"Reyes Silvestre (D-TX)","Texas","$69350"
"Blumenauer Earl (D-OR)","Oregon","$69127"
"Yoder Kevin (R-KS)","Kansas","$68850"
"Fazio Vic (D-CA)","California","$68202"
"Lofgren Zoe (D-CA)","California","$67985"
"Owens Bill (D-NY)","New York","$67377"
"McGovern James P (D-MA)","Massachusetts","$67375"
"John Chris (D-LA)","Louisiana","$67241"
"Lesko Debbie (R-AZ)","Arizona","$66650"
"Comer James (R-KY)","Kentucky","$66610"
"Miller-Meeks Mariannette (R-IA)","Iowa","$66468"
"Sires Albio (D-NJ)","New Jersey","$65900"
"Davis Danny K (D-IL)","Illinois","$65484"
"McBride Sarah (D-DE)","Delaware","$65420"
"Hill French (R-AR)","Arkansas","$65350"
"Carbajal Salud (D-CA)","California","$65265"
"Weber Randy (R-TX)","Texas","$65062"
"Moolenaar John (R-MI)","Michigan","$65000"
"Yarmuth John (D-KY)","Kentucky","$64742"
"Craig Larry (R-ID)","Idaho","$64650"
"Jacobs Sara (D-CA)","California","$64604"
"Taylor Scott (R-VA)","Virginia","$64544"
"Honda Mike (D-CA)","California","$64200"
"Brindisi Anthony (D-NY)","New York","$64190"
"Hurd Jeffrey (R-CO)","Colorado","$64166"
"Kiley Kevin (R-CA)","California","$64075"
"Maloy Celeste (R-UT)","Utah","$63958"
"McClellan Jennifer (D-VA)","Virginia","$63832"
"Moore Gwen (D-WI)","Wisconsin","$63800"
"Lee Laurel (R-FL)","Florida","$63737"
"Tonko Paul (D-NY)","New York","$63596"
